tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
100000,customer_1000,True,Tue Oct 31 22:10:08 +0000 2017,Ever since updating to iOS 11.0.2 my iPhone 6s is lagging terribly and apps keep crashing.,100001,
100001,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We understand how frustrating unexpected lag can be. Have you tried restarting your iPhone since the update? If so, let us know which apps are crashing.",,100000
100002,customer_1002,True,Tue Oct 31 22:10:08 +0000 2017,@AppleSupport Ever since updating to iOS 11.0.2 my iPhone 6s is lagging terribly and apps keep crashing.,100003,
100003,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We understand how frustrating unexpected lag can be. Have you tried restarting your iPhone since the update? If so, let us know which apps are crashing.",,100002
100004,customer_1004,True,Tue Oct 31 22:10:08 +0000 2017,"Hey @AppleSupport, ever since updating to ios 11.0.2 my iphone 6s is lagging terribly and apps keep crashing.",100005,
100005,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We understand how frustrating unexpected lag can be. Have you tried restarting your iPhone since the update? If so, let us know which apps are crashing.",,100004
100006,customer_1006,True,Tue Oct 31 22:10:08 +0000 2017,My Music app keeps closing immediately whenever I try to play a downloaded playlist.,100007,
100007,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We'd love to help get your music playing smoothly. Does this happen on both Wi-Fi and cellular data? Also, which iOS version is running?",,100006
100008,customer_1008,True,Tue Oct 31 22:10:08 +0000 2017,@AppleSupport My Music app keeps closing immediately whenever I try to play a downloaded playlist.,100009,
100009,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We'd love to help get your music playing smoothly. Does this happen on both Wi-Fi and cellular data? Also, which iOS version is running?",,100008
100010,customer_1010,True,Tue Oct 31 22:10:08 +0000 2017,"Hey @AppleSupport, my music app keeps closing immediately whenever i try to play a downloaded playlist.",100011,
100011,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We'd love to help get your music playing smoothly. Does this happen on both Wi-Fi and cellular data? Also, which iOS version is running?",,100010
100012,customer_1012,True,Tue Oct 31 22:10:08 +0000 2017,Camera app displays a black screen when switching to rear camera on my iPhone 7.,100013,
100013,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,We want to help ensure your camera is working as expected. Let's see if restarting or closing the Camera app from the app switcher helps.,,100012
100014,customer_1014,True,Tue Oct 31 22:10:08 +0000 2017,@AppleSupport Camera app displays a black screen when switching to rear camera on my iPhone 7.,100015,
100015,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,We want to help ensure your camera is working as expected. Let's see if restarting or closing the Camera app from the app switcher helps.,,100014
100016,customer_1016,True,Tue Oct 31 22:10:08 +0000 2017,"Hey @AppleSupport, camera app displays a black screen when switching to rear camera on my iphone 7.",100017,
100017,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,We want to help ensure your camera is working as expected. Let's see if restarting or closing the Camera app from the app switcher helps.,,100016
100018,customer_1018,True,Tue Oct 31 22:10:08 +0000 2017,Safari freezes completely when I try to open more than 3 tabs on iPad Air 2.,100019,
100019,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,Let's look into Safari for you. You can try clearing history and website data in Settings > Safari to see if that resolves the freeze.,,100018
100020,customer_1020,True,Tue Oct 31 22:10:08 +0000 2017,@AppleSupport Safari freezes completely when I try to open more than 3 tabs on iPad Air 2.,100021,
100021,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,Let's look into Safari for you. You can try clearing history and website data in Settings > Safari to see if that resolves the freeze.,,100020
100022,customer_1022,True,Tue Oct 31 22:10:08 +0000 2017,"Hey @AppleSupport, safari freezes completely when i try to open more than 3 tabs on ipad air 2.",100023,
100023,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,Let's look into Safari for you. You can try clearing history and website data in Settings > Safari to see if that resolves the freeze.,,100022
100024,customer_1024,True,Tue Oct 31 22:10:08 +0000 2017,"Messages app won't send iMessages, only green SMS texts even with full LTE signal.",100025,
100025,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We can help with iMessage! Check Settings > Messages to ensure iMessage is toggled on, and see if signing out and back in helps.",,100024
100026,customer_1026,True,Tue Oct 31 22:10:08 +0000 2017,"@AppleSupport Messages app won't send iMessages, only green SMS texts even with full LTE signal.",100027,
100027,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We can help with iMessage! Check Settings > Messages to ensure iMessage is toggled on, and see if signing out and back in helps.",,100026
100028,customer_1028,True,Tue Oct 31 22:10:08 +0000 2017,"Hey @AppleSupport, messages app won't send imessages, only green sms texts even with full lte signal.",100029,
100029,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,"We can help with iMessage! Check Settings > Messages to ensure iMessage is toggled on, and see if signing out and back in helps.",,100028
100030,customer_1030,True,Tue Oct 31 22:10:08 +0000 2017,Notifications for WhatsApp and Mail stopped appearing on my lock screen after iOS 11 update.,100031,
100031,AppleSupport,False,Tue Oct 31 22:15:32 +0000 2017,We're here to help. Please head to Settings > Notifications and verify that 'Allow Notifications' and 'Show on Lock Screen' are enabled for both apps.,,100030
100032,customer_1032,True,Tue Oct 31 22:10:08 +0000 2017,@AppleSupport Notifications for WhatsApp and Mail stopped appearing on my lock screen after iOS 11 update.,100033,
